Note/link information/Landing Zone,,,,,,,
womens-college-volleyball,NCAA Women's Volleyball,https://site.web.api.espn.com/apis/v2/sports/volleyball/womens-college-volleyball/standings?seasontype=1&type=0&level=3,NCAA Women's Volleyball,Active 2025,,,
,,,,,,,
mens-college-water-polo,NCAA Men's Water Polo,https://site.web.api.espn.com/apis/v2/sports/water-polo/mens-college-water-polo/standings?seasontype=1&type=0&level=3,,,,,
womens-college-water-polo,NCAA Women's Water Polo,https://site.web.api.espn.com/apis/v2/sports/water-polo/womens-college-water-polo/standings?seasontype=1&type=0&level=3,,,,,
,,,,,,,
,,,,,,,
,, https://data.ncaa.com/casablanca/scoreboard/basketball-men/d1/{DATE}/scoreboard.json,March Madness,,,,
Cricket,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/cricket/1324623/,1324623,https://site.api.espn.com/apis/site/v2/sports/cricket/1324623/scoreboard,Big Bash League,Active 2025,,,
/cricket/1474856/,1474856,https://site.api.espn.com/apis/site/v2/sports/cricket/1474856/scoreboard,International Masters League,Active 2025,,,
/cricket/8050/,8050,https://site.api.espn.com/apis/site/v2/sports/cricket/8050/scoreboard,Ranji Trophy,Active 2025,,,
/cricket/1449668/,1449668,https://site.api.espn.com/apis/site/v2/sports/cricket/1449668/scoreboard,CSA Women Pro50 Series 2024/25,Active 2025,,,
/cricket/20978/,20978,https://site.api.espn.com/apis/site/v2/sports/cricket/20978/scoreboard,SLC Major League Tournament,Active 2025,,,
/cricket/1474265/,1474265,https://site.api.espn.com/apis/site/v2/sports/cricket/1474265/scoreboard,Canada tour of Zimbabwe 2024/25,Active 2025,,,
/cricket/20676/,20676,https://site.api.espn.com/apis/site/v2/sports/cricket/20676/scoreboard,CSA Provincial One-Day Challenge Division Two,Active 2025,,,
/cricket/8897/,8897,https://site.api.espn.com/apis/site/v2/sports/cricket/8897/scoreboard,Women's National Cricket League,Active 2025,,,
/cricket/19481/,19481,https://site.api.espn.com/apis/site/v2/sports/cricket/19481/scoreboard,Hong Kong Premier League T20 Tournament,Active 2025,,,
/cricket/20675/,20675,https://site.api.espn.com/apis/site/v2/sports/cricket/20675/scoreboard,CSA Provincial One-Day Challenge Division One,Active 2025,,,
/cricket/1474258/,1474258,https://site.api.espn.com/apis/site/v2/sports/cricket/1474258/scoreboard,Bahrain tour of Singapore 2024/25,Active 2025,,,
/cricket/19934/,19934,https://site.api.espn.com/apis/site/v2/sports/cricket/19934/scoreboard,Hong Kong Women's Premier League 2020/21,?,,,
/cricket/8880/,8880,https://site.api.espn.com/apis/site/v2/sports/cricket/8880/scoreboard,https://site.api.espn.com/apis/site/v2/sports/cricket/8880/scoreboard,Active 2025,,,
,,,,,,,
Golf,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/golf/pga/,PGA Scoreboard,https://site.web.api.espn.com/apis/site/v2/sports/golf/pga/scoreboard,PGA,Active 2025,,,
/golf/lpga/,LPGA Rankings,https://site.web.api.espn.com/apis/site/v2/sports/golf/lpga/rankings?region=us&lang=en,LPGA,?,,,
/golf/lpga/,LPGA Scoreboard,https://site.web.api.espn.com/apis/site/v2/sports/golf/lpga/scoreboard,LPGA,Active 2025,,,
/golf/liv/,LIV,https://site.web.api.espn.com/apis/site/v2/sports/golf/liv/scoreboard,LIV,Active 2025,,,
/golf/eur/,DP World Tour,https://site.web.api.espn.com/apis/site/v2/sports/golf/eur/scoreboard,DP World Tour,Active 2025,,,
,,,,,,,
MMA,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/mma/ufc/,UFC,https://site.api.espn.com/apis/site/v2/sports/mma/ufc/scoreboard,,,,,
,,https://site.api.espn.com/apis/site/v2/sports/mma/all/scoreboard,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NFL,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/football/nfl/,nfl,https://site.web.api.espn.com/apis/v2/sports/football/nfl/standings?seasontype=2&type=0&level=3,NFL,Active 2025,,,
/football/nfl/,nfl,https://site.api.espn.com/apis/site/v2/sports/football/nfl/news,NFL,Active 2025,,,
/football/ufl/,ufl,https://site.web.api.espn.com/apis/v2/sports/football/ufl/standings?seasontype=2&type=0&level=3,UFL,Active 2025,,,
/football/ufl/,ufl,https://site.api.espn.com/apis/site/v2/sports/football/ufl/news,UFL,Active 2025,,,
/football/ufl/,ufl,https://site.api.espn.com/apis/site/v2/sports/football/ufl/transactions,UFL,Active 2025,,,
,,,,,,,
NHL,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/hockey/nhl/,nhl,https://site.web.api.espn.com/apis/v2/sports/hockey/nhl/standings?seasontype=2&type=0&level=3,NHL,Active 2025,,,
/hockey/nhl/,nhl,https://site.web.api.espn.com/apis/v2/sports/hockey/nhl/standings?region=us&lang=en&contentorigin=espn&type=3&level=2&sort=playoffseed%3Aasc%2Cpoints%3Adesc%2Cgamesplayed%3Aasc%2Crotwins%3Adesc&seasontype=2,NHL,Active 2025,,,
,,,,,,,
Racing,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/racing/irl/,irl,https://site.web.api.espn.com/apis/v2/sports/racing/irl/standings?seasontype=1&type=0&level=3,IRL,Active 2025,,,
/racing/nationwide/,nationwide,https://site.web.api.espn.com/apis/v2/sports/racing/nationwide/standings?seasontype=1&type=0&level=3,,x,,,
/racing/sprint/,sprint,https://site.web.api.espn.com/apis/v2/sports/racing/sprint/standings?seasontype=1&type=0&level=3,,x,,,
/racing/truck/,truck,https://site.web.api.espn.com/apis/v2/sports/racing/nascar-truck/standings?seasontype=1&type=0&level=3,Nascar-Truck,Active 2025,,,
/racing/f1/,f1,https://site.web.api.espn.com/apis/v2/sports/racing/f1/standings?seasontype=1&type=0&level=3,F1,Active 2025,,,
,xfinity,,,?,,,
/racing/nhra/,nhra,https://site.web.api.espn.com/apis/v2/sports/racing/nhra/standings?seasontype=1&type=0&level=3,,x,,,
/racing/nascar/,nascar,https://site.web.api.espn.com/apis/v2/sports/racing/nascar-premier/standings?seasontype=1&type=0&level=3,Nascar,Active 2025,,,
,,,,,,,
Rugby,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
rugby,,https://site.web.api.espn.com/apis/v2/scoreboard/header?sport=rugby,Rugby,Active 2025,,,
/rugby/289262/,289262,https://site.api.espn.com/apis/site/v2/sports/rugby/289262/scoreboard,Major League Rugby,Active 2025,,,
/rugby/270559/,270559,https://site.api.espn.com/apis/site/v2/sports/rugby/270559/scoreboard,French Top 14,Active 2025,,,
/rugby/270557/,270557,https://site.api.espn.com/apis/site/v2/sports/rugby/270557/scoreboard,United Rugby Championship,Active 2025,,,
/rugby/242041/,242041,https://site.api.espn.com/apis/site/v2/sports/rugby/242041/scoreboard,Super Rugby Pacific,Active 2025,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Soccer,,,,,,,
Path,Leagues,URL Path,League,Active,Notes,League Number,
/soccer/afc.champions/,afc.champions,https://site.web.api.espn.com/apis/v2/sports/soccer/afc.champions/standings?seasontype=1&type=0&level=3,AFC Champions League Elite,Active 2025,,,
/soccer/afc.cup/,afc.cup,https://site.web.api.espn.com/apis/v2/sports/soccer/afc.cup/standings?seasontype=1&type=0&level=3,AFC Champions League Two,Active 2025,,,
/soccer/afc.cupq/,afc.cupq,https://site.web.api.espn.com/apis/v2/sports/soccer/afc.cupq/standings?seasontype=1&type=0&level=3,AFC Asian Cup Qualifiers,?,,,
/soccer/aff.championship/,aff.championship,https://site.web.api.espn.com/apis/v2/sports/soccer/aff.championship/standings?seasontype=1&type=0&level=3,ASEAN Championship,Active 2025,,,
/soccer/arg.1/,arg.1,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.1/standings?seasontype=1&type=0&level=3,Argentine Liga Profesional de Fútbol,Active 2025,,,
/soccer/arg.2/,arg.2,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.2/standings?seasontype=1&type=0&level=3,Argentine Nacional B,Active 2025,,,
/soccer/arg.3/,arg.3,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.3/standings?seasontype=1&type=0&level=3,Argentine Primera B,Active 2025,,,
/soccer/arg.4/,arg.4,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.4/standings?seasontype=1&type=0&level=3,Argentine Primera C,Active 2025,,,
/soccer/arg.5/,arg.5,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.5/standings?seasontype=1&type=0&level=3,Argentine Primera D,Active 2025,,,
/soccer/arg.copa/,arg.copa,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.copa/standings?seasontype=1&type=0&level=3,,x,,,
/soccer/arg.urba/,arg.urba,https://site.web.api.espn.com/apis/v2/sports/soccer/arg.urba/standings?seasontype=1&type=0&level=3,,x,,,
/soccer/aus.1/,aus.1,https://site.web.api.espn.com/apis/v2/sports/soccer/aus.1/standings?seasontype=1&type=0&level=3,Australian A-League Men,Active 2025,,,
/soccer/aut.1/,aut.1,https://site.web.api.espn.com/apis/v2/sports/soccer/aut.1/standings?seasontype=1&type=0&level=3,Austrian Bundesliga,Active 2025,,,
/soccer/bel.1/,bel.1,https://site.web.api.espn.com/apis/v2/sports/soccer/bel.1/standings?seasontype=1&type=0&level=3,Belgian Pro League,Active 2025,,,
/soccer/bol.1/,bol.1,https://site.web.api.espn.com/apis/v2/sports/soccer/bol.1/standings?seasontype=1&type=0&level=3,Bolivian Liga Profesional,Active 2025,,,
/soccer/bra.1/,bra.1,https://site.web.api.espn.com/apis/v2/sports/soccer/bra.1/standings?seasontype=1&type=0&level=3,Brazilian Serie A,Active 2025,,,
/soccer/bra.2/,bra.2,https://site.web.api.espn.com/apis/v2/sports/soccer/bra.2/standings?seasontype=1&type=0&level=3,Brazilian Serie B,Active 2025,,,
/soccer/bra.3/,bra.3,https://site.web.api.espn.com/apis/v2/sports/soccer/bra.3/standings?seasontype=1&type=0&level=3,Brazilian Serie C,Active 2025,,,
/soccer/caf.nations/,caf.nations,https://site.web.api.espn.com/apis/v2/sports/soccer/caf.nations/standings?seasontype=1&type=0&level=3,Africa Cup of Nations,Active 2025,,,
/soccer/chi.1/,chi.1,https://site.web.api.espn.com/apis/v2/sports/soccer/chi.1/standings?seasontype=1&type=0&level=3,Chilean Primera División,Active 2025,,,
/soccer/chi.2/,chi.2,https://site.web.api.espn.com/apis/v2/sports/soccer/chi.2/standings?seasontype=1&type=0&level=3,Segunda División de Chile,Active 2025,,,
/soccer/col.1/,col.1,https://site.web.api.espn.com/apis/v2/sports/soccer/col.1/standings?seasontype=1&type=0&level=3,Colombian Primera A,Active 2025,,,
/soccer/col.2/,col.2,https://site.web.api.espn.com/apis/v2/sports/soccer/col.2/standings?seasontype=1&type=0&level=3,Colombian Primera B,Active 2025,,,
/soccer/concaaf.champions_cup/,concaaf.champions_cup,https://site.web.api.espn.com/apis/v2/sports/soccer/concaaf.champions_cup/standings?seasontype=1&type=0&level=3,,Active 2025,,,
/soccer/concacaf.champions/,concacaf.champions,https://site.web.api.espn.com/apis/v2/sports/soccer/concacaf.champions/standings?seasontype=1&type=0&level=3,Concacaf Champions Cup,Active 2025,,,
/soccer/concacaf.golf/,concacaf.golf,https://site.web.api.espn.com/apis/v2/sports/soccer/concacaf.golf/standings?seasontype=1&type=0&level=3,,x,,,
/soccer/concacaf.superliga/,concacaf.superliga,https://site.web.api.espn.com/apis/v2/sports/soccer/concacaf.superliga/standings?seasontype=1&type=0&level=3,North American SuperLiga,Active 2025,,,
/soccer/concacaf.u23/,concacaf.u23,https://site.web.api.espn.com/apis/v2/sports/soccer/concacaf.u23/standings?seasontype=1&type=0&level=3,CONCACAF U23 Tournament,Active 2025,,,
/soccer/conmebol.america/,conmebol.america,https://site.web.api.espn.com/apis/v2/sports/soccer/conmebol.america/standings?seasontype=1&type=0&level=3,Copa América,Active 2025,,,
/soccer/conmebol.libertadores/,conmebol.libertadores,https://site.web.api.espn.com/apis/v2/sports/soccer/conmebol.libertadores/standings?seasontype=1&type=0&level=3,CONMEBOL Libertadores,Active 2025,,,
/soccer/conmebol.sudamericana/,conmebol.sudamericana,https://site.web.api.espn.com/apis/v2/sports/soccer/conmebol.sudamericana/standings?seasontype=1&type=0&level=3,CONMEBOL Sudamericana,Active 2025,,,
/soccer/conmebol.sudamericano_sub20/,conmebol.sudamericano_sub20,https://site.web.api.espn.com/apis/v2/sports/soccer/conmebol.sudamericano_sub20/standings?seasontype=1&type=0&level=3,CONMEBOL Sudamericano Sub-20,Active 2025,,,
/soccer/crc.1/,crc.1,https://site.web.api.espn.com/apis/v2/sports/soccer/crc.1/standings?seasontype=1&type=0&level=3,Costa Rican Primera Division,Active 2025,,,
/soccer/den.1/,den.1,https://site.web.api.espn.com/apis/v2/sports/soccer/den.1/standings?seasontype=1&type=0&level=3,Danish Superliga,Active 2025,,,
/soccer/ecu.1/,ecu.1,https://site.web.api.espn.com/apis/v2/sports/soccer/ecu.1/standings?seasontype=1&type=0&level=3,LigaPro Ecuador,Active 2025,,,
/soccer/ecu.2/,ecu.2,https://site.web.api.espn.com/apis/v2/sports/soccer/ecu.2/standings?seasontype=1&type=0&level=3,Ecuador Serie B,x,,,
/soccer/eng.charity/,eng.charity,https://site.web.api.espn.com/apis/v2/sports/soccer/eng.charity/standings?seasontype=1&type=0&level=3,English FA Community Shield,x,,,
/soccer/eng.fa/,eng.fa,https://site.web.api.espn.com/apis/v2/sports/soccer/eng.fa/standings?seasontype=1&type=0&level=3,English FA Cup,?,,,
/soccer/eng.trophy/,eng.trophy,https://site.web.api.espn.com/apis/v2/sports/soccer/eng.trophy/standings?seasontype=1&type=0&level=3,,x,,,
/soccer/eng.w.1/,eng.w.1,https://site.web.api.espn.com/apis/v2/sports/soccer/eng.w.1/standings?seasontype=1&type=0&level=3,English Women's Super League,Active 2025,,,
/soccer/eng.worthington/,eng.worthington,https://site.web.api.espn.com/apis/v2/sports/soccer/eng.worthington/standings?seasontype=1&type=0&level=3,,x,,,
/soccer/esp.2/,esp.2,https://site.web.api.espn.com/apis/v2/sports/soccer/esp.2/standings?seasontype=1&type=0&level=3,Spanish LALIGA 2,Active 2025,,,
/soccer/esp.copa_del_rey/,esp.copa_del_rey,https://site.web.api.espn.com/apis/v2/sports/soccer/esp.copa_del_rey/standings?seasontype=1&type=0&level=3,Spanish Copa del Rey,Active 2025,,,
/soccer/esp.super_cup/,esp.super_cup,https://site.web.api.espn.com/apis/v2/sports/soccer/esp.super_cup/standings?seasontype=1&type=0&level=3,Spanish Supercopa,?,,,
/soccer/fifa.worldq.ofc/,fifa.worldq.ofc,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.worldq.ofc/standings?seasontype=1&type=0&level=3,FIFA World Cup Qualifying - OFC,?,,,
/soccer/fifa.confederations/,fifa.confederations,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.confederations/standings?seasontype=1&type=0&level=3,FIFA Confederations Cup,Active 2025,,,
/soccer/fifa.cwc/,fifa.cwc,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.cwc/standings?seasontype=1&type=0&level=3,FIFA Club World Cup,Active 2025,,,
/soccer/fifa.friendly/,fifa.friendly,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.friendly/standings?seasontype=1&type=0&level=3,Men's International Friendly,Active 2025,,,
/soccer/fifa.friendly.w/,fifa.friendly.w,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.friendly.w/standings?seasontype=1&type=0&level=3,Women's International Friendly,?,,,
/soccer/fifa.olympics/,fifa.olympics,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.olympics/standings?seasontype=1&type=0&level=3,Men's Olympic Soccer Tournament,Active 2025,,,
/soccer/fifa.olympicsq/,fifa.olympicsq,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.olympicsq/standings?seasontype=1&type=0&level=3,,x,,,
/soccer/fifa.w.algarve/,fifa.w.algarve,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.w.algarve/standings?seasontype=1&type=0&level=3,Algarve Cup,?,,,
/soccer/fifa.w.olympics/,fifa.w.olympics,https://site.web.api.espn.com/apis/v2/sports/soccer/fifa.w.olympics/standings?seasontype=1&type=0&level=3,Women's Olympic Soccer Tournament,Active 2025,,,
